Cod_setor,Cod_Grandes Regiões,Nome_Grande_Regiao,Cod_UF,Nome_da_UF,Cod_meso,Nome_da_meso,Cod_micro,Nome_da_micro,Cod_RM,Nome_da_RM,Cod_municipio,Nome_do_municipio,Cod_distrito,Nome_do_distrito,Cod_subdistrito,Nome_do_subdistrito,Cod_bairro,Nome_do_bairro,Situacao_setor,Tipo_setor,V001,V002,V003,V004,V005,V006,V007,V008,V009,V010,V011,V012,X34
240810205060001,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,08,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102031,Potengi,1,0,164,652,3.98,4.1,962.1,1327815.33,1111.16,1368189.6,548.38,629482.75,890.17,717816.78,NA
240810205060002,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,08,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102031,Potengi,1,0,299,1045,3.49,2.37,1160.25,1646337.48,1221.53,1658478.17,655.7,1042774.87,998.19,1245904.4,NA
240810205060003,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,08,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102031,Potengi,1,0,378,1270,3.36,2.25,1067.16,797014.19,1123.64,775673.81,628.24,613038.41,963.99,617012,NA
240810205060004,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,08,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102031,Potengi,1,0,352,1207,3.43,2.65,1137.11,1053092.31,1173.79,1043980.24,653.92,667015.84,968.19,683330.4,NA
240810205060005,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,08,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102031,Potengi,1,0,324,1113,3.44,2.42,1730.53,123691026.71,1856.6,132496736.37,819.61,41582441.17,1238.95,62369869.28,NA
240810205060006,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,08,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102031,Potengi,1,0,322,1160,3.6,3.26,1163.18,1320730.01,1244.34,1311863.79,612.3,704086.79,936.19,773413.35,NA
240810205060007,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,08,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102031,Potengi,1,0,222,787,3.55,2.36,982.7,848584.06,1107.41,818013.66,547.1,571302.69,913.16,619403.98,NA
240810205060008,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,08,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102031,Potengi,1,0,223,803,3.6,2.5,901.19,763688.85,966.18,755933.82,485.82,440219.19,808.17,471872.94,NA
240810205060009,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,08,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102031,Potengi,1,0,255,883,3.46,2.45,1113.74,1358627.56,1198.32,1360458.71,638.44,792838.26,947.2,883989.21,NA
240810205060010,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,08,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102031,Potengi,1,0,365,1227,3.36,2.21,1149.8,1392756.13,1199.08,1393360.31,660.58,804389.69,972.27,880991.52,NA
240810205060011,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,08,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102031,Potengi,1,0,288,979,3.4,2.51,625.85,397517.41,773.58,376980.01,408.15,294680.97,728.47,292603.98,NA
240810205060012,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,08,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102031,Potengi,1,0,377,1222,3.24,2.5,749.88,390431.05,800.86,376104.88,459.07,314087.6,697.49,310910.72,NA
240810205060013,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,08,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102031,Potengi,1,0,166,605,3.64,3.45,795.83,1369838.04,985.87,1510651.33,569.97,708491.42,880.71,821412.73,NA
240810205060014,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,08,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102031,Potengi,1,0,341,1223,3.59,2.87,1379.3,1444898.41,1456.16,1413394.01,779.06,1095729.42,1176.13,1187318.14,NA
240810205060015,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,08,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102031,Potengi,1,0,187,722,3.86,2.94,1691.95,3951821.29,1767.57,3995020.31,798.41,1848978.61,1248.11,2330281.04,NA
240810205060016,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,08,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102031,Potengi,1,0,333,1231,3.7,2.52,1298.72,2630033.56,1461.06,2721909.41,799.4,1466764.68,1143.19,1704848.25,NA
240810205060017,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,08,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102031,Potengi,1,0,340,1394,4.1,3.91,1016.99,1027706.01,1104.72,1019417.07,562.91,640114.19,861.57,722517.56,NA
240810205060018,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,08,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102031,Potengi,1,0,320,1244,3.89,3.15,1192.16,1361117.77,1367.35,1321446.38,678.79,837338.02,1080.97,898801.34,NA
240810205060019,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,08,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102031,Potengi,1,0,335,1226,3.66,3,1321.92,2377403.39,1405.85,2410459.03,710.1,1188548.96,1102.29,1412990.31,NA
240810205060020,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,08,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102031,Potengi,1,0,337,1207,3.58,2.2,1409.6,2022910.6,1583.45,1997034.09,797.31,1267841.98,1209.44,1424969.51,NA
240810205060021,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,08,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102031,Potengi,1,0,326,1116,3.42,2.3,844.13,1500958.49,1396.88,1712761.39,549.35,893663.11,1137.2,1182055.41,NA
240810205060022,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,08,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102031,Potengi,1,0,320,1156,3.61,2.8,1361.28,1743557.5,1456.88,1726668.65,737.42,1012883.05,1099.72,1112231.74,NA
240810205060023,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,08,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102031,Potengi,1,0,333,1122,3.37,2.1,1298.65,1218322.22,1326.54,1207458.33,734.58,867816.2,1063.28,906692.6,NA
240810205060024,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,08,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102031,Potengi,1,0,339,1182,3.49,2.56,1763.94,87207450.57,1886.36,93047199.81,838.65,28917995.32,1343.88,45685484.61,NA
240810205060025,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,08,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102031,Potengi,1,0,379,1350,3.56,2.73,1100.4,1394434.12,1171.49,1401258.5,581.38,748939.74,917.27,873704.21,NA
240810205060026,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,08,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102031,Potengi,1,0,298,1029,3.45,3.76,959.15,1088977.67,1043.17,1096750.73,570.74,623016.57,850.02,690594.65,NA
